year,number,starting_city,ending_city
1995,1,Grenade,Motril
1995,2,Nador,Er Rachidia
1995,3,Er Rachidia,Ouarzazate
1995,4,Ouarzazate,Goulimine
1995,5,Goulimine,Smara
1995,6,Smara,Aousserd
1995,7,Aousserd,Zouerate
1995,8,Zouerate,Chinguetti
1995,9,Chinguetti,Tidjikja
1995,10,Tidjikja,Aïoun El Atrouss
1995,11,Aïoun El Atrouss,Bakel
1995,12,Bakel,Labé
1995,13,Labé,Tambacounda
1995,14,Tambacounda,Dakar
1996,0,Grenade,Grenade
1996,1,Grenade,Malaga
1996,2,Nador,Oujda
1996,3,Oujda,Er Rachidia
1996,4,Er Rachidia,Fam El Hisn
1996,5,Fam El Hisn,Smara
1996,6,Smara,Zouerate
1996,7,Zouerate,Atar
1996,8,Atar,Zouerate
1996,9,Zouerate,El Mreiti
1996,10,El Mreiti,Tichitt
1996,11,Tichitt,Kiffa
1996,12,Kiffa,Kayes
1996,13,Kayes,Labé
1996,14,Labé,Tambacounda
1996,15,Tambacounda,Dakar
1997,1,Dakar,Tambacounda
1997,2,Tambacounda,Kayes
1997,3,Kayes,Nara
1997,4,Nara,Tombouctou
1997,5,Tombouctou,Gao
1997,6,Gao,Ménaka
1997,7,Ménaka,Tahoua
1997,8,Tahoua,Agadez
1997,9,Agadez,Inabaghirit
1997,10,Inabaghirit,Kidal
1997,11,Kidal,Tombouctou
1997,12,Tombouctou,Néma
1997,13,Néma,Kiffa
1997,14,Kiffa,Saint-Louis
1997,15,Saint-Louis,Dakar
1998,1,Paris,Narbonne
1998,2,Narbonne,Grenade
1998,3,Grenade,Almería
1998,4,Nador,Er Rachidia
1998,5,Er Rachidia,Ouarzazate
1998,6,Ouarzazate,Smara
1998,7,Smara,Zouerate
1998,8,Zouerate,El Mreiti
1998,9,El Mreiti,Taoudeni
1998,10,Taoudeni,Gao
1998,11,Gao,Tombouctou
1998,12,Tombouctou,Néma
1998,13,Néma,Tidjikja
1998,14,Tidjikja,Atar
1998,15,Atar,Boutilimit
1998,16,Boutilimit,Saint-Louis
1998,17,Saint-Louis,Dakar
1999,0,Grenade,Grenade
1999,1,Grenade,Rabat
1999,2,Rabat,Agadir
1999,3,Agadir,Tan-Tan
1999,4,Tan-Tan,Bir Moghrein
1999,5,Bir Moghrein,Atar
1999,6,Atar,Tidjikja
1999,7,Tidjikja,Nioro
1999,8,Nioro,Bobo Dioulasso
1999,9,Bobo Dioulasso,Mopti
1999,10,Mopti,Tombouctou
1999,11,Tombouctou,Néma
1999,12,Néma,Tichitt
1999,13,Tichitt,Atar
1999,14,Atar,Nouakchott
1999,15,Nouakchott,Saint-Louis
1999,16,Saint-Louis,Dakar
2000,1,Dakar,Tambacounda
2000,2,Tambacounda,Kayes
2000,3,Kayes,Bamako
2000,4,Bamako,Bobo Dioulasso
2000,5,Bobo Dioulasso,Ouagadougou
2000,6,Ouagadougou,Niamey
2000,7,Sabha,Waw Kebir
2000,8,Waw Kebir,Waha
2000,9,Waha,Koufra
2000,10,Koufra,Ad-Dakhla
2000,11,Ad-Dakhla,Ad-Dakhla
2000,12,Ad-Dakhla,Wadi Elrayan
2000,13,Wadi Elrayan,Le Caire
2001,1,Paris,Narbonne
2001,2,Narbonne,Castellón de la Plana
2001,3,Castellón de la Plana,Almería
2001,4,Nador,Er Rachidia
2001,5,Er Rachidia,Ouarzazate
2001,6,Ouarzazate,Goulimine
2001,7,Goulimine,Smara
2001,8,Smara,El Ghallaouiya
2001,9,El Ghallaouiya,El Ghallaouiya
2001,10,El Ghallaouiya,Atar
2001,11,Atar,Nouakchott
2001,12,Nouakchott,Tidjikja
2001,13,Tidjikja,Tidjikja
2001,14,Tidjikja,Tichitt
2001,15,Tichitt,Néma
2001,16,Néma,Bamako
2001,17,Bamako,Bakel
2001,18,Bakel,Tambacounda
2001,19,Tambacounda,Dakar
2001,20,Dakar,Dakar
2002,1,Arras,Châteauroux
2002,2,Châteauroux,Narbonne
2002,3,Narbonne,Madrid
2002,4,Madrid,Rabat
2002,5,Rabat,Er Rachidia
2002,6,Er Rachidia,Ouarzazate
2002,7,Ouarzazate,Tan-Tan
2002,8,Tan-Tan,Zouerate
2002,9,Zouerate,Atar
2002,10,Atar,Atar
2002,11,Atar,Tidjikja
2002,12,Tidjikja,Tichitt
2002,13,Tichitt,Tichitt
2002,14,Tichitt,Kiffa
2002,15,Kiffa,Dakar
2002,16,Dakar,Dakar
2003,1,Marseille,Narbonne
2003,2,Narbonne,Castellón de la Plana
2003,3,Castellón de la Plana,Valence
2003,4,Tunis,Tozeur
2003,5,Tozeur,El Borma
2003,6,El Borma,Galdames
2003,7,Galdames,Ghat
2003,8,Ghat,Sebha
2003,9,Sebha,Zillah
2003,10,Zillah,Sarir
2003,11,Sarir,Siwa
2003,12,Siwa,Siwa
